Unnamed: 0	scene_id	raw_text	characters	affective_prompt	only_speaker	origin_sent	sent_and_prompt	cAGR	labels	personality_description	sent	sentence1	sentence2
0	01_e12_c08(0) 	"[['Monica Geller', ' Well, what happened?'], ['Phoebe Buffay', "" Well, he came in for a massage, and everything was fine until. (A flashback starts Paolo, lying on massage table, moving his hands up Phoebe's legs.)""]]"	Phoebe Buffay	First, the emotion of others is neutral, Phoebe respond with neutral, 	 Well, he came in for a massage, and everything was fine until. (A flashback starts Paolo, lying on massage table, moving his hands up Phoebe's legs.), ; 	Others :  Well, what happened?, Speaker :  Well, he came in for a massage, and everything was fine until. (A flashback starts Paolo, lying on massage table, moving his hands up Phoebe's legs.), ; 	Others :  Well, what happened?, Speaker :  Well, he came in for a massage, and everything was fine until. (A flashback starts Paolo, lying on massage table, moving his hands up Phoebe's legs.), ; First, the emotion of others is neutral, Phoebe respond with neutral, 	False	0	Phoebe is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.	Others :  Well, what happened?, Speaker :  Well, he came in for a massage, and everything was fine until. (A flashback starts Paolo, lying on massage table, moving his hands up Phoebe's legs.), ; 	Others :  Well, what happened?, Speaker :  Well, he came in for a massage, and everything was fine until. (A flashback starts Paolo, lying on massage table, moving his hands up Phoebe's legs.), ; First, the emotion of others is neutral, Phoebe respond with neutral, 	Phoebe is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.
1	03_e24_c04(0) 	"[['Monica', ' (to Chandler) Anything but stew.'], ['Ross', "" All right so, Chandler, from now on, don't give your boss a chance to get you. Y'know just ah, don't turn your back to him.""]]"	Rachel	First, the emotion of others is neutral, the emotion of others is neutral, 	; 	Others :  (to Chandler) Anything but stew., Others :  All right so, Chandler, from now on, don't give your boss a chance to get you. Y'know just ah, don't turn your back to him., ; 	Others :  (to Chandler) Anything but stew., Others :  All right so, Chandler, from now on, don't give your boss a chance to get you. Y'know just ah, don't turn your back to him., ; First, the emotion of others is neutral, the emotion of others is neutral, 	False	0	Rachel is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.	Others :  (to Chandler) Anything but stew., Others :  All right so, Chandler, from now on, don't give your boss a chance to get you. Y'know just ah, don't turn your back to him., ; 	Others :  (to Chandler) Anything but stew., Others :  All right so, Chandler, from now on, don't give your boss a chance to get you. Y'know just ah, don't turn your back to him., ; First, the emotion of others is neutral, the emotion of others is neutral, 	Rachel is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.
2	02_e19_c06(0) 	[['Eddie', ' Hey pal.']]	Eddie	The emotion of Eddie is initially joy, 	 Hey pal., ; 	Speaker :  Hey pal., ; 	Speaker :  Hey pal., ; The emotion of Eddie is initially joy, 	True	1	Eddie is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.	Speaker :  Hey pal., ; 	Speaker :  Hey pal., ; The emotion of Eddie is initially joy, 	Eddie is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.
3	02_e12_c05(0) 	"[['Chandler Bing', "" Oh no no no, she's a total wack job. Yeah, she thinks that Joey is actually Dr. Drake Remore.""]]"	Phoebe Buffay	First, the emotion of others is neutral, 	; 	Others :  Oh no no no, she's a total wack job. Yeah, she thinks that Joey is actually Dr. Drake Remore., ; 	Others :  Oh no no no, she's a total wack job. Yeah, she thinks that Joey is actually Dr. Drake Remore., ; First, the emotion of others is neutral, 	True	1	Phoebe is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.	Others :  Oh no no no, she's a total wack job. Yeah, she thinks that Joey is actually Dr. Drake Remore., ; 	Others :  Oh no no no, she's a total wack job. Yeah, she thinks that Joey is actually Dr. Drake Remore., ; First, the emotion of others is neutral, 	Phoebe is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.
4	02_e22_c03(1) 	"[['Joey Tribbiani', "" Uh, hey, Dr. Greene, why don't you come with me, we'll put your jacket on Rachel's bed.""], ['Mr. Green', "" Alright, that sounds like a two person job. [they walk into Rachel's bedroom]""], ['Mrs. Green', ' Well, my goodness, what was that?']]"	Chandler Bing	First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, 	; 	Others :  Uh, hey, Dr. Greene, why don't you come with me, we'll put your jacket on Rachel's bed., Others :  Alright, that sounds like a two person job. [they walk into Rachel's bedroom], Others :  Well, my goodness, what was that?, ; 	Others :  Uh, hey, Dr. Greene, why don't you come with me, we'll put your jacket on Rachel's bed., Others :  Alright, that sounds like a two person job. [they walk into Rachel's bedroom], Others :  Well, my goodness, what was that?, ; First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, 	False	0	Chandler is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.	Others :  Uh, hey, Dr. Greene, why don't you come with me, we'll put your jacket on Rachel's bed., Others :  Alright, that sounds like a two person job. [they walk into Rachel's bedroom], Others :  Well, my goodness, what was that?, ; 	Others :  Uh, hey, Dr. Greene, why don't you come with me, we'll put your jacket on Rachel's bed., Others :  Alright, that sounds like a two person job. [they walk into Rachel's bedroom], Others :  Well, my goodness, what was that?, ; First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, 	Chandler is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.
5	04_e02_c03(0) 	[['Phoebe', ' Oh my God, you guys are selling the entertainment center?'], ['Rachel', ' Why? I love that thing.']]	Joey	First, the emotion of others is neutral, the emotion of others is joy, 	; 	Others :  Oh my God, you guys are selling the entertainment center?, Others :  Why? I love that thing., ; 	Others :  Oh my God, you guys are selling the entertainment center?, Others :  Why? I love that thing., ; First, the emotion of others is neutral, the emotion of others is joy, 	True	1	Joey is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.	Others :  Oh my God, you guys are selling the entertainment center?, Others :  Why? I love that thing., ; 	Others :  Oh my God, you guys are selling the entertainment center?, Others :  Why? I love that thing., ; First, the emotion of others is neutral, the emotion of others is joy, 	Joey is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.
6	04_e24_c19(0) 	"[['Phoebe', "" Yeah, I've discovered that Ross forgot to take his brain medicine, uh, now without it, uh, in the brain of Ross, uh women's names are interchangeable, through-through no fault of his own.""], ['Mrs. Waltham', ' Oh my God, Phoebe.'], ['Phoebe', ' No, not Phoebe, Dr. Philange. Oh no! You have it too!'], ['Phoebe', ' Hello? What kind of bitch hangs up on a doctor!'], ['Chandler', ' Hey.'], ['Monica', ' Hey.'], ['Chandler', "" Oh wow, I hope you don't take this the wrong way but, I know we had plans to meet up tonight and, ugh, I'm just kinda worried about what it might do to our friendship.""]]"	Monica	First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, Monica respond with joy, the emotion of others is neutral, 	 Hey., ; 	Others :  Yeah, I've discovered that Ross forgot to take his brain medicine, uh, now without it, uh, in the brain of Ross, uh women's names are interchangeable, through-through no fault of his own., Others :  Oh my God, Phoebe., Others :  No, not Phoebe, Dr. Philange. Oh no! You have it too!, Others :  Hello? What kind of bitch hangs up on a doctor!, Others :  Hey., Speaker :  Hey., Others :  Oh wow, I hope you don't take this the wrong way but, I know we had plans to meet up tonight and, ugh, I'm just kinda worried about what it might do to our friendship., ; 	Others :  Yeah, I've discovered that Ross forgot to take his brain medicine, uh, now without it, uh, in the brain of Ross, uh women's names are interchangeable, through-through no fault of his own., Others :  Oh my God, Phoebe., Others :  No, not Phoebe, Dr. Philange. Oh no! You have it too!, Others :  Hello? What kind of bitch hangs up on a doctor!, Others :  Hey., Speaker :  Hey., Others :  Oh wow, I hope you don't take this the wrong way but, I know we had plans to meet up tonight and, ugh, I'm just kinda worried about what it might do to our friendship., ; First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, Monica respond with joy, the emotion of others is neutral, 	True	1	Monica is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.	Others :  Yeah, I've discovered that Ross forgot to take his brain medicine, uh, now without it, uh, in the brain of Ross, uh women's names are interchangeable, through-through no fault of his own., Others :  Oh my God, Phoebe., Others :  No, not Phoebe, Dr. Philange. Oh no! You have it too!, Others :  Hello? What kind of bitch hangs up on a doctor!, Others :  Hey., Speaker :  Hey., Others :  Oh wow, I hope you don't take this the wrong way but, I know we had plans to meet up tonight and, ugh, I'm just kinda worried about what it might do to our friendship., ; 	Others :  Yeah, I've discovered that Ross forgot to take his brain medicine, uh, now without it, uh, in the brain of Ross, uh women's names are interchangeable, through-through no fault of his own., Others :  Oh my God, Phoebe., Others :  No, not Phoebe, Dr. Philange. Oh no! You have it too!, Others :  Hello? What kind of bitch hangs up on a doctor!, Others :  Hey., Speaker :  Hey., Others :  Oh wow, I hope you don't take this the wrong way but, I know we had plans to meet up tonight and, ugh, I'm just kinda worried about what it might do to our friendship., ; First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, Monica respond with joy, the emotion of others is neutral, 	Monica is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.
7	01_e04_c10(0) 	"[['Rachel Green', "" I'm so sorry, you guys. I didn't mean to bring you down.""], ['Monica Geller', "" No, you were right. I don't have a plan. (There's a knock on the door.)""]]"	Phoebe Buffay	First, the emotion of others is neutral, the emotion of others is neutral, 	; 	Others :  I'm so sorry, you guys. I didn't mean to bring you down., Others :  No, you were right. I don't have a plan. (There's a knock on the door.), ; 	Others :  I'm so sorry, you guys. I didn't mean to bring you down., Others :  No, you were right. I don't have a plan. (There's a knock on the door.), ; First, the emotion of others is neutral, the emotion of others is neutral, 	True	1	Phoebe is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.	Others :  I'm so sorry, you guys. I didn't mean to bring you down., Others :  No, you were right. I don't have a plan. (There's a knock on the door.), ; 	Others :  I'm so sorry, you guys. I didn't mean to bring you down., Others :  No, you were right. I don't have a plan. (There's a knock on the door.), ; First, the emotion of others is neutral, the emotion of others is neutral, 	Phoebe is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.
8	03_e04_c04(0) 	"[['Phoebe', "" Oh, it's your audition from this morning. Can I use the phone again?""]]"	Rachel	First, the emotion of others is neutral, 	; 	Others :  Oh, it's your audition from this morning. Can I use the phone again?, ; 	Others :  Oh, it's your audition from this morning. Can I use the phone again?, ; First, the emotion of others is neutral, 	True	1	Rachel is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.	Others :  Oh, it's your audition from this morning. Can I use the phone again?, ; 	Others :  Oh, it's your audition from this morning. Can I use the phone again?, ; First, the emotion of others is neutral, 	Rachel is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.
9	02_e04_c09(0) 	"[['Monica Geller', ' You know, it still smells like monkey in there.'], ['Julie', ' That saves us a conversation.'], ['Chandler Bing', "" Well, listen, this has been great but I'm officially wiped.""]]"	Rachel Green	First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, 	; 	Others :  You know, it still smells like monkey in there., Others :  That saves us a conversation., Others :  Well, listen, this has been great but I'm officially wiped., ; 	Others :  You know, it still smells like monkey in there., Others :  That saves us a conversation., Others :  Well, listen, this has been great but I'm officially wiped., ; First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, 	False	0	Rachel is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.	Others :  You know, it still smells like monkey in there., Others :  That saves us a conversation., Others :  Well, listen, this has been great but I'm officially wiped., ; 	Others :  You know, it still smells like monkey in there., Others :  That saves us a conversation., Others :  Well, listen, this has been great but I'm officially wiped., ; First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, 	Rachel is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.
10	02_e16_c13(0) 	"[['Joey Tribbiani', ' Hey.'], ['Chandler Bing', ' Hey.'], ['Joey Tribbiani', "" Hey listen, I'm sorry about what happened. . .""], ['Chandler Bing', ' Yeah me too.'], ['Joey Tribbiani', ' I know. Yeah.']]"	Joey Tribbiani	The emotion of Joey is initially joy, the emotion of others is neutral, Joey respond with neutral, the emotion of others is neutral, Joey respond with neutral, 	 Hey.,  Hey listen, I'm sorry about what happened. . .,  I know. Yeah., ; 	Speaker :  Hey., Others :  Hey., Speaker :  Hey listen, I'm sorry about what happened. . ., Others :  Yeah me too., Speaker :  I know. Yeah., ; 	Speaker :  Hey., Others :  Hey., Speaker :  Hey listen, I'm sorry about what happened. . ., Others :  Yeah me too., Speaker :  I know. Yeah., ; The emotion of Joey is initially joy, the emotion of others is neutral, Joey respond with neutral, the emotion of others is neutral, Joey respond with neutral, 	True	1	Joey is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.	Speaker :  Hey., Others :  Hey., Speaker :  Hey listen, I'm sorry about what happened. . ., Others :  Yeah me too., Speaker :  I know. Yeah., ; 	Speaker :  Hey., Others :  Hey., Speaker :  Hey listen, I'm sorry about what happened. . ., Others :  Yeah me too., Speaker :  I know. Yeah., ; The emotion of Joey is initially joy, the emotion of others is neutral, Joey respond with neutral, the emotion of others is neutral, Joey respond with neutral, 	Joey is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.
11	03_e01_c02(0) 	[['Rachel', ' Nooo Way! The most romantic song ever is The Way We Were.']]	Ross	First, the emotion of others is neutral, 	; 	Others :  Nooo Way! The most romantic song ever is The Way We Were., ; 	Others :  Nooo Way! The most romantic song ever is The Way We Were., ; First, the emotion of others is neutral, 	True	1	Ross is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.	Others :  Nooo Way! The most romantic song ever is The Way We Were., ; 	Others :  Nooo Way! The most romantic song ever is The Way We Were., ; First, the emotion of others is neutral, 	Ross is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.
12	01_e11_c09(0) 	"[['Monica Geller', ' Hey.'], ['Rachel Green', ' Hey.'], ['Monica Geller', "" (Reading) 'A Woman Undone, by Rachel Karen Green'.""]]"	Phoebe Buffay	First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, 	; 	Others :  Hey., Others :  Hey., Others :  (Reading) 'A Woman Undone, by Rachel Karen Green'., ; 	Others :  Hey., Others :  Hey., Others :  (Reading) 'A Woman Undone, by Rachel Karen Green'., ; First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, 	False	0	Phoebe is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.	Others :  Hey., Others :  Hey., Others :  (Reading) 'A Woman Undone, by Rachel Karen Green'., ; 	Others :  Hey., Others :  Hey., Others :  (Reading) 'A Woman Undone, by Rachel Karen Green'., ; First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, 	Phoebe is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.
13	03_e25_c05(0) 	"[['Joey', "" (getting an idea) Hey, y'know what a really good rainy day game is?""]]"	Joey	The emotion of Joey is initially neutral, 	 (getting an idea) Hey, y'know what a really good rainy day game is?, ; 	Speaker :  (getting an idea) Hey, y'know what a really good rainy day game is?, ; 	Speaker :  (getting an idea) Hey, y'know what a really good rainy day game is?, ; The emotion of Joey is initially neutral, 	True	1	Joey is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.	Speaker :  (getting an idea) Hey, y'know what a really good rainy day game is?, ; 	Speaker :  (getting an idea) Hey, y'know what a really good rainy day game is?, ; The emotion of Joey is initially neutral, 	Joey is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.
14	04_e17_c04(0) 	"[['Rachel', ' Is that the heartbeat?'], ['The Doctor', "" That's it.""]]"	The Doctor	First, the emotion of others is neutral, The respond with neutral, 	 That's it., ; 	Others :  Is that the heartbeat?, Speaker :  That's it., ; 	Others :  Is that the heartbeat?, Speaker :  That's it., ; First, the emotion of others is neutral, The respond with neutral, 	True	1	The is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.	Others :  Is that the heartbeat?, Speaker :  That's it., ; 	Others :  Is that the heartbeat?, Speaker :  That's it., ; First, the emotion of others is neutral, The respond with neutral, 	The is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.
15	04_e24_c17(0) 	[['Felicity', ' (In a sexy voice.)Hello Joey.'], ['Joey', ' Hey, Felicity.']]	Joey	First, the emotion of others is neutral, Joey respond with neutral, 	 Hey, Felicity., ; 	Others :  (In a sexy voice.)Hello Joey., Speaker :  Hey, Felicity., ; 	Others :  (In a sexy voice.)Hello Joey., Speaker :  Hey, Felicity., ; First, the emotion of others is neutral, Joey respond with neutral, 	True	1	Joey is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.	Others :  (In a sexy voice.)Hello Joey., Speaker :  Hey, Felicity., ; 	Others :  (In a sexy voice.)Hello Joey., Speaker :  Hey, Felicity., ; First, the emotion of others is neutral, Joey respond with neutral, 	Joey is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.
16	02_e10_c08(0) 	[['Rachel Green', ' Did Joey say what he was gonna go when he left?']]	Rachel Green	The emotion of Rachel is initially neutral, 	 Did Joey say what he was gonna go when he left?, ; 	Speaker :  Did Joey say what he was gonna go when he left?, ; 	Speaker :  Did Joey say what he was gonna go when he left?, ; The emotion of Rachel is initially neutral, 	True	1	Rachel is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.	Speaker :  Did Joey say what he was gonna go when he left?, ; 	Speaker :  Did Joey say what he was gonna go when he left?, ; The emotion of Rachel is initially neutral, 	Rachel is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.
17	01_e14_c02(0) 	[['Monica Geller', ' You can not do this.']]	Monica Geller	The emotion of Monica is initially neutral, 	 You can not do this., ; 	Speaker :  You can not do this., ; 	Speaker :  You can not do this., ; The emotion of Monica is initially neutral, 	True	1	Monica is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.	Speaker :  You can not do this., ; 	Speaker :  You can not do this., ; The emotion of Monica is initially neutral, 	Monica is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.
18	01_e24_c02(0) 	"[['Monica Geller', "" Man's got a point.""], ['Joey Tribbiani', ' Well, the tough thing is, she really wants to have sex with me.'], ['Chandler Bing', ' Crazy bitch.'], ['Joey Tribbiani', "" Yeah, well, I still got a week left to go in the program, and according to the rules, if I want to get the money I'm not allowed to conduct any... ersonal experiments, if you know what I mean.""]]"	Phoebe Buffay	First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, 	; 	Others :  Man's got a point., Others :  Well, the tough thing is, she really wants to have sex with me., Others :  Crazy bitch., Others :  Yeah, well, I still got a week left to go in the program, and according to the rules, if I want to get the money I'm not allowed to conduct any... ersonal experiments, if you know what I mean., ; 	Others :  Man's got a point., Others :  Well, the tough thing is, she really wants to have sex with me., Others :  Crazy bitch., Others :  Yeah, well, I still got a week left to go in the program, and according to the rules, if I want to get the money I'm not allowed to conduct any... ersonal experiments, if you know what I mean., ; First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, 	True	1	Phoebe is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.	Others :  Man's got a point., Others :  Well, the tough thing is, she really wants to have sex with me., Others :  Crazy bitch., Others :  Yeah, well, I still got a week left to go in the program, and according to the rules, if I want to get the money I'm not allowed to conduct any... ersonal experiments, if you know what I mean., ; 	Others :  Man's got a point., Others :  Well, the tough thing is, she really wants to have sex with me., Others :  Crazy bitch., Others :  Yeah, well, I still got a week left to go in the program, and according to the rules, if I want to get the money I'm not allowed to conduct any... ersonal experiments, if you know what I mean., ; First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, 	Phoebe is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.
19	03_e06_c09(0) 	[['Monica', ' Oh my God!!! What are you doing?!!']]	Joey	First, the emotion of others is neutral, 	; 	Others :  Oh my God!!! What are you doing?!!, ; 	Others :  Oh my God!!! What are you doing?!!, ; First, the emotion of others is neutral, 	True	1	Joey is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.	Others :  Oh my God!!! What are you doing?!!, ; 	Others :  Oh my God!!! What are you doing?!!, ; First, the emotion of others is neutral, 	Joey is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.
20	04_e23_c02(1) 	"[['Rachel', "" Because, I can't! Ross, I told you, no. I can't.""]]"	Phoebe	First, the emotion of others is neutral, 	; 	Others :  Because, I can't! Ross, I told you, no. I can't., ; 	Others :  Because, I can't! Ross, I told you, no. I can't., ; First, the emotion of others is neutral, 	True	1	Phoebe is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.	Others :  Because, I can't! Ross, I told you, no. I can't., ; 	Others :  Because, I can't! Ross, I told you, no. I can't., ; First, the emotion of others is neutral, 	Phoebe is friendly, cooperative, empathetic, and compassionate, often prioritizing harmonious relationships and the well-being of others.
